Generated using dynaphopy

64 atoms

1 atom types


        0.0000000000        10.8874047459 xlo xhi
        0.0000000000        10.8874047459 ylo yhi
        0.0000000000        10.8874047459 zlo zhi
        0.0000000000         0.0000000000         0.0000000000 xy xz yz

Masses

1        28.0855000000 

Atoms

1 1         4.0827767797         4.0827767797         1.3609255932
2 1         9.5264791526         4.0827767797         1.3609255932
3 1         4.0827767797         9.5264791526         1.3609255932
4 1         9.5264791526         9.5264791526         1.3609255932
5 1         4.0827767797         4.0827767797         6.8046279662
6 1         9.5264791526         4.0827767797         6.8046279662
7 1         4.0827767797         9.5264791526         6.8046279662
8 1         9.5264791526         9.5264791526         6.8046279662
9 1         0.0000000000         2.7218511865         2.7218511865
10 1         5.4437023729         2.7218511865         2.7218511865
11 1         0.0000000000         8.1655535594         2.7218511865
12 1         5.4437023729         8.1655535594         2.7218511865
13 1         0.0000000000         2.7218511865         8.1655535594
14 1         5.4437023729         2.7218511865         8.1655535594
15 1         0.0000000000         8.1655535594         8.1655535594
16 1         5.4437023729         8.1655535594         8.1655535594
17 1         4.0827767797         1.3609255932         4.0827767797
18 1         9.5264791526         1.3609255932         4.0827767797
19 1         4.0827767797         6.8046279662         4.0827767797
20 1         9.5264791526         6.8046279662         4.0827767797
21 1         4.0827767797         1.3609255932         9.5264791526
22 1         9.5264791526         1.3609255932         9.5264791526
23 1         4.0827767797         6.8046279662         9.5264791526
24 1         9.5264791526         6.8046279662         9.5264791526
25 1         0.0000000000         0.0000000000         0.0000000000
26 1         5.4437023729         0.0000000000         0.0000000000
27 1         0.0000000000         5.4437023729         0.0000000000
28 1         5.4437023729         5.4437023729         0.0000000000
29 1         0.0000000000         0.0000000000         5.4437023729
30 1         5.4437023729         0.0000000000         5.4437023729
31 1         0.0000000000         5.4437023729         5.4437023729
32 1         5.4437023729         5.4437023729         5.4437023729
33 1         1.3609255932         4.0827767797         4.0827767797
34 1         6.8046279662         4.0827767797         4.0827767797
35 1         1.3609255932         9.5264791526         4.0827767797
36 1         6.8046279662         9.5264791526         4.0827767797
37 1         1.3609255932         4.0827767797         9.5264791526
38 1         6.8046279662         4.0827767797         9.5264791526
39 1         1.3609255932         9.5264791526         9.5264791526
40 1         6.8046279662         9.5264791526         9.5264791526
41 1         2.7218511865         2.7218511865         0.0000000000
42 1         8.1655535594         2.7218511865         0.0000000000
43 1         2.7218511865         8.1655535594         0.0000000000
44 1         8.1655535594         8.1655535594         0.0000000000
45 1         2.7218511865         2.7218511865         5.4437023729
46 1         8.1655535594         2.7218511865         5.4437023729
47 1         2.7218511865         8.1655535594         5.4437023729
48 1         8.1655535594         8.1655535594         5.4437023729
49 1         1.3609255932         1.3609255932         1.3609255932
50 1         6.8046279662         1.3609255932         1.3609255932
51 1         1.3609255932         6.8046279662         1.3609255932
52 1         6.8046279662         6.8046279662         1.3609255932
53 1         1.3609255932         1.3609255932         6.8046279662
54 1         6.8046279662         1.3609255932         6.8046279662
55 1         1.3609255932         6.8046279662         6.8046279662
56 1         6.8046279662         6.8046279662         6.8046279662
57 1         2.7218511865         0.0000000000         2.7218511865
58 1         8.1655535594         0.0000000000         2.7218511865
59 1         2.7218511865         5.4437023729         2.7218511865
60 1         8.1655535594         5.4437023729         2.7218511865
61 1         2.7218511865         0.0000000000         8.1655535594
62 1         8.1655535594         0.0000000000         8.1655535594
63 1         2.7218511865         5.4437023729         8.1655535594
64 1         8.1655535594         5.4437023729         8.1655535594
